	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio
prompt_template	Date	Date	Date Today	Date Today	Emph Src CNN/Nat	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph Src Wiki/WP	Emph URL CNN/Nat	Emph URL CNN/Nat	Emph URL Wiki/WP	Emph URL Wiki/WP	No Meta	Rank	Rank
stance	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes	no	no	yes
model															
Llama-2-13b	0.08169014084507042	0.08169014084507042	0.05070422535211268	0.09859154929577464	0.09686609686609686	0.08262108262108261	0.09116809116809117	0.08262108262108261	0.08262108262108261	0.05982905982905983	0.07692307692307693	0.06267806267806268	0.07887323943661972	0.07605633802816901	0.07887323943661972
Llama-2-70b	0.1352112676056338	0.12394366197183099	0.14647887323943662	0.16338028169014085	0.16809116809116809	0.16524216524216523	0.1623931623931624	0.16524216524216523					0.1267605633802817	0.14084507042253522	0.1323943661971831
Llama-2-7b	0.022535211267605635	0.01971830985915493	0.016901408450704224	0.014084507042253521	0.0	0.002849002849002849	0.002849002849002849	0.002849002849002849	0.0	0.0	0.0	0.0	0.01971830985915493	0.011267605633802818	0.014084507042253521
Llama-3-70B	0.22253521126760564	0.24225352112676057	0.15211267605633802	0.2056338028169014	0.21652421652421652	0.2336182336182336	0.23646723646723647	0.21937321937321938						0.23943661971830985	0.24788732394366197
Llama-3-8B	0.2	0.2	0.19154929577464788	0.22253521126760564	0.3475783475783476	0.3475783475783476	0.31054131054131057	0.31339031339031337	0.31339031339031337	0.301994301994302	0.3247863247863248	0.3333333333333333	0.2140845070422535	0.22253521126760564	0.23380281690140844
gpt-4-turbo	0.13802816901408452	0.13802816901408452	0.14366197183098592	0.16901408450704225										0.1267605633802817	0.14647887323943662
tulu-13b	0.18309859154929578	0.17464788732394365	0.17464788732394365	0.2									0.18309859154929578	0.15492957746478872	0.16056338028169015
tulu-70b	0.17464788732394365	0.17746478873239438	0.15492957746478872	0.18309859154929578									0.18028169014084508	0.17183098591549295	0.18028169014084508
tulu-7b	0.24788732394366197	0.23661971830985915	0.30704225352112674	0.21690140845070421	0.11965811965811966	0.1111111111111111	0.10826210826210826	0.09686609686609686	0.150997150997151	0.20797720797720798	0.1225071225071225	0.1282051282051282	0.2563380281690141	0.24507042253521127	0.2619718309859155
