	combined	combined	combined	combined	combined	combined	combined	combined	combined	combined
prompt_template	Date	Date Today	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph URL CNN/Nat	Emph URL Wiki/WP	No Meta	Rank	URL CNN/Nat	URL Wiki/WP
model										
Llama-2-13b	0.00/0.00/0.91/ 324	0.01/0.00/0.88/ 316	0.00/0.00/0.88/ 310	0.00/0.00/0.90/ 316	0.00/0.00/0.90/ 317	0.00/0.00/0.91/ 321		0.00/0.00/0.92/ 325	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
Llama-2-70b	0.00/0.00/0.85/ 303	0.02/0.00/0.75/ 274	0.00/0.00/0.81/ 285	0.00/0.00/0.81/ 286	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0		0.00/0.00/0.85/ 301	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
Llama-2-7b	0.00/0.00/0.97/ 347	0.00/0.00/0.98/ 348	0.00/0.00/1.00/ 350	0.00/0.00/1.00/ 350	0.00/0.00/1.00/ 351	0.00/0.00/1.00/ 351		0.00/0.00/0.99/ 350	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
Llama-3-70B	0.00/0.00/0.73/ 258	0.06/0.00/0.67/ 260	0.00/0.00/0.75/ 262	0.00/0.00/0.74/ 261	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.72/ 256	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
Llama-3-8B	0.00/0.00/0.76/ 271	0.03/0.00/0.65/ 242	0.00/0.00/0.62/ 218	0.00/0.00/0.67/ 234	0.00/0.00/0.66/ 231	0.00/0.00/0.64/ 225		0.00/0.00/0.73/ 258	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
gpt-4-turbo	0.01/0.00/0.79/ 286	0.03/0.00/0.70/ 262	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.81/ 287	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
tulu-13b	0.00/0.00/0.81/ 286	0.02/0.00/0.72/ 264	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0		0.00/0.00/0.83/ 295	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
tulu-70b	0.00/0.00/0.81/ 288	0.02/0.00/0.74/ 270	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0		0.00/0.00/0.80/ 285	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
tulu-7b	0.00/0.00/0.75/ 265	0.00/0.00/0.68/ 240	0.00/0.00/0.87/ 305	0.00/0.00/0.89/ 312	0.00/0.00/0.77/ 272	0.00/0.00/0.85/ 300		0.00/0.00/0.72/ 257	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
