	combined	combined
prompt_template	Date	Date Today
model		
Llama-2-13b	0.00/0.00/1.00/ 124	0.01/0.00/0.99/ 122
Llama-2-70b	0.00/0.00/1.00/ 114	0.08/0.00/0.92/ 88
Llama-2-7b	0.00/0.00/1.00/ 115	0.00/0.00/1.00/ 101
Llama-3-70B	0.00/0.00/1.00/ 107	0.30/0.00/0.70/ 99
Llama-3-8B	0.02/0.00/0.98/ 100	0.54/0.00/0.46/ 91
claude-haiku	0.00/0.00/1.00/ 121	0.03/0.00/0.97/ 106
claude-opus	0.00/0.00/0.00/ 0	0.00/0.00/0.00/ 0
claude-sonnet	0.02/0.00/0.98/ 91	0.49/0.00/0.51/ 65
gpt-4-turbo	0.20/0.00/0.80/ 82	0.72/0.00/0.28/ 101
tulu-70b	0.01/0.00/0.99/ 90	0.23/0.00/0.77/ 77
tulu-7b	0.00/0.00/1.00/ 62	0.00/0.00/1.00/ 53
